no,match_id,leagueid,key,value,data_year
24686,5240250502,11661,go,1,2020
61369,5360398407,11863,gg,3,2020
80601,5405373450,12027,na,14,2020
74573,5388846035,11921,pes,1,2020
96036,5436781482,11914,gg,5,2020
39048,5285919617,10884,grey,1,2020
5015,5206132977,11517,gg,5,2020
14619,5230726104,11629,plays,1,2020
89141,5419995792,12003,g,4,2020
90757,5423943373,11973,glhf,1,2020
17892,5231550941,10884,glhf,1,2020
47231,5310429197,10884,focus,1,2020
89526,5420528281,11828,telstra,1,2020
1810,5194130194,11478,ez,1,2020
23020,5236805237,11661,since,1,2020
64301,5365845524,11717,restarting,1,2020
82590,5407836192,11780,where,1,2020
220,5181424084,11468,bazi,1,2020
24390,5239514696,11661,esperamos,1,2020
29983,5258030155,11419,dps,1,2020
24378,5239514696,11661,didnt,1,2020
42310,5294173526,10884,dire,1,2020
65257,5366368702,11829,yandexkz,1,2020
16812,5231333157,11629,gl,2,2020
35664,5276757741,11604,pera,1,2020
62869,5363213411,11735,go,1,2020
55990,5340491283,11823,gg,3,2020
20306,5233591064,11629,please,1,2020
18738,5231761021,11629,ggwp,1,2020
18620,5231733688,11629,ni,1,2020
68907,5377359812,11887,ym,1,2020
518,5183877416,10884,people,3,2020
69471,5378442514,11829,ranga,1,2020
70743,5380187401,11478,делается,2,2020
31683,5267955797,11181,gozu,1,2020
27232,5245985256,11468,goz,1,2020
93008,5429440828,11973,g,7,2020
57050,5346164153,11556,pos,1,2020
90913,5424197636,11999,минут,1,2020
82968,5408723168,12027,el,3,2020
49885,5319506148,11623,gege,1,2020
85312,5414273956,11953,gg,1,2020
39623,5287241691,11741,rdy,1,2020
7774,5213895515,11602,glhf,2,2020
43089,5296584151,11736,go,1,2020
5569,5210209816,11263,gg,1,2020
88386,5417820837,12008,great,1,2020
41895,5293887039,11478,футбол,1,2020
61988,5361698597,11829,чороновирус,1,2020
13076,5226803456,10592,кв,2,2020
67219,5372641126,11831,gg,5,2020
98672,5443409481,12099,qqwr,1,2020
17938,5231576012,11629,vs,1,2020
9696,5220716016,11427,the,5,2020
68197,5376527106,2091,с,2,2020
12880,5226468205,11636,вас,1,2020
44202,5303061332,11773,too,1,2020
89913,5420923498,11836,udachi,2,2020
76480,5394603872,11478,душой,1,2020
83703,5410893977,11792,mac,1,2020
33035,5269687949,10884,pls,2,2020
56194,5341713652,11263,gg,1,2020
16224,5231235766,11629,классет,1,2020
74648,5389483419,11263,gg,1,2020
17781,5231478376,10884,amanet,1,2020
61621,5361229674,11828,fightmecalvin,1,2020
74798,5389846447,11829,better,1,2020
71717,5380936879,11829,тгс,1,2020
92361,5427905929,11973,g,4,2020
85620,5414754342,12036,g,2,2020
70742,5380187401,11478,давайте,1,2020
4094,5203350852,11478,фаны,1,2020
93612,5430749652,11828,w,1,2020
24511,5239514696,11661,te,7,2020
76286,5394276906,11478,случилось,1,2020
25012,5241187069,11439,d,3,2020
73099,5384104415,11831,friends,1,2020
92690,5428924285,11828,xd,1,2020
74462,5388517386,10592,кс,1,2020
6580,5212542757,11517,g,1,2020
11164,5223490923,10884,looks,1,2020
27491,5246645942,10884,good,1,2020
96033,5436769744,12027,voice,1,2020
63870,5364489421,11863,me,1,2020
22372,5235537087,10884,pick,2,2020
89512,5420528281,11828,services,1,2020
13613,5228020010,11636,dropat,1,2020
68266,5376530245,2091,шанс,1,2020
48418,5315979737,11604,go,1,2020
54494,5336155084,11478,паузе,1,2020
24480,5239514696,11661,probs,1,2020
68827,5376893080,11889,g,1,2020
14070,5229566707,11636,бывает,1,2020
96881,5439033949,12027,end,2,2020
25236,5242176213,11661,further,1,2020
64063,5365325888,11887,woaw,1,2020
53255,5333926699,11829,похукааьь,1,2020
21041,5234780181,10884,typical,1,2020
19867,5232771806,11629,берите,1,2020
32824,5269422384,11478,ел,1,2020
78373,5403205075,11792,hahaha,1,2020
65842,5367041679,11864,hfhfh,1,2020
78162,5401688104,11792,boss,1,2020
15213,5230785109,11629,wait,1,2020
24272,5239387477,11661,ну,2,2020
99251,5444799720,12027,go,1,2020
18263,5231688579,11629,pickeo,1,2020
15965,5231228168,11629,chto,1,2020
35413,5275846130,11620,glhf,1,2020
4510,5203893788,10884,make,1,2020
182,5180100159,11155,g,4,2020
53113,5333920790,11829,the,1,2020
37385,5281206505,11382,gg,1,2020
13740,5228045249,11636,что,1,2020
75017,5390160914,11898,gg,1,2020
22957,5236735328,11661,wp,1,2020
45765,5307327257,11478,сочувствую,1,2020
51056,5323081497,11823,g,2,2020
40242,5289250306,10884,back,1,2020
64265,5365845524,11717,later,1,2020
2107,5194581624,11478,lags,3,2020
98742,5443616371,12003,gg,2,2020
95704,5436394050,11964,g,2,2020
22625,5236035502,11661,f,1,2020
9975,5221339142,11602,god,1,2020
73117,5384130489,11947,puck,1,2020
68879,5377218022,11249,gg,1,2020
33740,5270117416,10884,взялся,1,2020
81255,5406032839,12027,in,1,2020
13876,5228505923,11419,galera,1,2020
61219,5360057980,11439,timetono,1,2020
55202,5336392165,11829,rmk,1,2020
45769,5307327257,11478,сразу,1,2020
196275,5737550230,11769,gg,1,2020
