no,order,pick,active_team,hero_id,player_slot,extra_time,total_time_taken,match_id,leagueid,data_year
9568,7.0,True,2.0,31.0,2.0,84.0,5.0,5195520492,10857,2020
96370,8.0,False,3.0,41.0,,130.0,36.0,5313432399,11249,2020
23371,4.0,False,2.0,128.0,,130.0,26.0,5222265569,11604,2020
50302,9.0,True,2.0,13.0,4.0,120.0,2.0,5249862877,11249,2020
884,7.0,True,2.0,13.0,1.0,130.0,36.0,5180385436,11155,2020
22049,20.0,False,2.0,47.0,,111.0,27.0,5220297697,10884,2020
18312,18.0,True,3.0,6.0,7.0,120.0,97.0,5212357183,10884,2020
99448,7.0,False,2.0,120.0,,125.0,27.0,5318627339,11806,2020
52692,20.0,False,3.0,95.0,,43.0,67.0,5252697286,11604,2020
95115,7.0,False,2.0,65.0,,130.0,35.0,5311395136,11700,2020
77210,13.0,False,3.0,25.0,,130.0,77.0,5285930554,11741,2020
82086,8.0,True,3.0,92.0,6.0,105.0,39.0,5292132804,10884,2020
2562,15.0,True,2.0,20.0,0.0,130.0,9.0,5184234170,11533,2020
92786,19.0,False,3.0,104.0,,14.0,36.0,5308858974,11806,2020
47720,1.0,False,3.0,93.0,,130.0,23.0,5244478985,11468,2020
90575,8.0,False,2.0,104.0,,106.0,21.0,5306546058,11668,2020
63803,3.0,False,2.0,13.0,,130.0,13.0,5268023331,10884,2020
51926,1.0,False,2.0,91.0,,130.0,27.0,5251672717,11688,2020
12809,15.0,True,2.0,68.0,0.0,130.0,28.0,5200902969,11620,2020
9970,14.0,False,3.0,23.0,,102.0,63.0,5196212178,11249,2020
95947,3.0,False,3.0,84.0,,70.0,10.0,5312720064,11668,2020
55260,14.0,False,2.0,19.0,,64.0,58.0,5256021117,10946,2020
34733,3.0,False,3.0,19.0,,130.0,16.0,5232019340,11591,2020
24079,8.0,True,3.0,100.0,5.0,130.0,10.0,5223090450,11382,2020
36164,5.0,False,2.0,88.0,,130.0,14.0,5233470713,11629,2020
40483,20.0,False,3.0,61.0,,52.0,37.0,5236347314,11661,2020
43515,6.0,False,3.0,128.0,,130.0,13.0,5239776569,11661,2020
69265,13.0,False,3.0,23.0,,113.0,39.0,5275606140,11263,2020
70103,5.0,True,2.0,59.0,7.0,-726.0,176.0,5276489725,11694,2020
49650,17.0,True,2.0,96.0,0.0,43.0,31.0,5248676993,11657,2020
45579,3.0,False,2.0,57.0,,130.0,19.0,5241825230,11661,2020
69293,19.0,False,2.0,28.0,,17.0,47.0,5275614040,11657,2020
15020,4.0,False,3.0,19.0,,130.0,5.0,5204001075,11382,2020
77510,5.0,False,2.0,3.0,,130.0,41.0,5286235765,11620,2020
31024,9.0,True,3.0,99.0,6.0,99.0,26.0,5231229874,11629,2020
96099,1.0,False,2.0,96.0,,130.0,44.0,5313056469,11806,2020
77868,11.0,False,3.0,38.0,,130.0,78.0,5286710266,11623,2020
49872,19.0,False,3.0,59.0,,66.0,46.0,5249014457,11468,2020
46993,20.0,False,3.0,95.0,,119.0,19.0,5243215673,10884,2020
62571,2.0,False,3.0,66.0,,127.0,3.0,5266542622,11533,2020
19752,6.0,False,2.0,47.0,,130.0,12.0,5214598259,11263,2020
97117,7.0,False,2.0,83.0,,130.0,22.0,5314652152,11668,2020
99776,5.0,False,2.0,98.0,,130.0,3.0,5319033335,11623,2020
89423,10.0,True,3.0,5.0,7.0,129.0,10.0,5304556872,11448,2020
54677,3.0,False,2.0,69.0,,130.0,15.0,5254931955,11620,2020
55986,14.0,False,3.0,76.0,,130.0,31.0,5257122336,11620,2020
30814,19.0,False,2.0,54.0,,3.0,78.0,5231224164,11629,2020
41744,17.0,True,3.0,60.0,7.0,43.0,104.0,5237142517,11661,2020
73293,10.0,True,3.0,104.0,7.0,109.0,9.0,5280710190,11263,2020
79096,19.0,False,3.0,7.0,,0.0,50.0,5288466733,11382,2020
60959,18.0,True,2.0,113.0,3.0,90.0,45.0,5264104351,11382,2020
93214,8.0,False,3.0,42.0,,130.0,9.0,5309293918,11806,2020
98051,17.0,True,2.0,42.0,3.0,108.0,15.0,5316282101,10884,2020
95184,10.0,True,3.0,23.0,8.0,86.0,70.0,5311470283,11700,2020
741,18.0,True,3.0,104.0,8.0,93.0,78.0,5179932622,11155,2020
54861,11.0,False,2.0,10.0,,130.0,5.0,5255105578,11620,2020
26162,1.0,False,2.0,31.0,,130.0,13.0,5225405145,11419,2020
49742,21.0,True,3.0,13.0,6.0,97.0,37.0,5248746872,11668,2020
94848,4.0,False,3.0,104.0,,130.0,3.0,5311085380,11806,2020
48246,20.0,True,2.0,47.0,1.0,4.0,68.0,5245819430,11478,2020
78159,6.0,False,2.0,66.0,,130.0,8.0,5287075561,11719,2020
29585,21.0,True,3.0,59.0,9.0,23.0,53.0,5230729531,11629,2020
94568,10.0,True,2.0,79.0,3.0,111.0,21.0,5310836149,11613,2020
42896,3.0,False,3.0,13.0,,130.0,35.0,5239106339,11629,2020
