no,match_id,barracks_status_dire,barracks_status_radiant,cluster,dire_score,duration,engine,first_blood_time,game_mode,human_players,leagueid,lobby_type,match_seq_num,negative_votes,positive_votes,radiant_score,radiant_win,start_date_time,tower_status_dire,tower_status_radiant,version,replay_salt,series_id,series_type,patch,region,throw,loss,comeback,stomp,replay_url,dire_team_id,radiant_team_id,data_year,pre_game_duration,flags,radiant_logo,radiant_team_complete,dire_logo,dire_team_complete,radiant_captain,dire_captain,average_rank
6096,7624424306,'00000000','00110000',346,33,2947,1,243,2,10,16233,1,6417346326,,,28,True,2024-03-07 02:11:46,'0000000000000000','0000011000000000',21.0,504014386.0,856499.0,1.0,54,38.0,8499.0,26135.0,,,http://replay346.valve.net/570/7624424306_504014386.dem.bz2,8971308.0,7913999.0,2024,90.0,0.0,1.0239498913460036e+18,1.0,2.0621249909057244e+18,0.0,107579895.0,916319073.0,
25553,7424763817,'00111111','00000011',185,35,1021,1,90,2,10,15806,1,6248146589,,,8,False,2023-11-07 13:36:12,'0000011111111110','0000000000000100',,786866957.0,823302.0,1.0,53,8.0,,,110.0,21516.0,http://replay185.valve.net/570/7424763817_786866957.dem.bz2,,,2023,,,,,,,,,
15729,6708930105,'00111111','00110011',154,38,2330,1,42,2,10,14451,1,5612380855,0.0,0.0,18,False,2022-08-15 18:04:32,'0000011100110100','0000011100000000',21.0,1957878491.0,695310.0,0.0,50,5.0,,,0.0,7927.0,http://replay154.valve.net/570/6708930105_1957878491.dem.bz2,,,2022,,,,,,,,,
17038,6740831896,'00111111','00111111',274,33,1213,1,0,2,10,14565,1,5640315180,0.0,0.0,0,False,2022-09-04 13:55:18,'0000011111111110','0000011110100100',21.0,1738264418.0,701482.0,1.0,51,3.0,,,-312.0,22511.0,http://replay274.valve.net/570/6740831896_1738264418.dem.bz2,,,2022,,,,,,,,,
8496,6101416909,'00111111','00111110',225,20,1380,1,97,2,10,13330,1,5107381424,0.0,0.0,8,False,2021-07-23 11:17:45,'0000011111111110','0000011100110000',21.0,1142044527.0,580386.0,1.0,48,17.0,,,867.0,8587.0,http://replay225.valve.net/570/6101416909_1142044527.dem.bz2,,,2021,,,,,,,,,
2796,6446127519,'00111100','00111111',274,17,2064,1,283,2,10,13877,1,5387672294,0.0,0.0,37,True,2022-02-23 13:08:02,'0000011111000000','0000011100110111',21.0,250181463.0,645177.0,1.0,49,3.0,3392.0,15166.0,,,http://replay274.valve.net/570/6446127519_250181463.dem.bz2,,,2022,,,,,,,,,
9423,7112117535,'00111111','00110011',272,33,1939,1,76,2,10,14933,1,5974477638,0.0,0.0,22,False,2023-04-17 21:50:41,'0000011110110110','0000011110000110',21.0,1688845082.0,770690.0,1.0,51,3.0,,,218.0,13143.0,http://replay272.valve.net/570/7112117535_1688845082.dem.bz2,,,2023,,,,,,,,,
15226,7214976619,'00110011','00111111',236,11,1434,1,0,2,10,15384,1,6066027456,0.0,0.0,30,True,2023-06-25 08:00:51,'0000011110000000','0000011110111111',21.0,1016727848.0,787292.0,1.0,52,13.0,-159.0,12222.0,,,http://replay236.wmsj.cn/570/7214976619_1016727848.dem.bz2,,,2023,,,,,,,,,
22011,6890759145,'00110011','00100011',191,44,3214,1,85,2,10,14717,1,5775941086,0.0,0.0,51,True,2022-11-28 16:29:55,'0000000100000100','0000011000000100',21.0,716676183.0,728047.0,1.0,51,9.0,8003.0,23837.0,,,http://replay191.valve.net/570/6890759145_716676183.dem.bz2,,,2022,,,,,,,,,
29344,7503991624,'00111111','00000000',181,48,1554,1,8,2,10,12903,1,6315835632,,,5,False,2023-12-24 14:02:33,'0000011111111110','0000000000000000',21.0,412227581.0,,,54,8.0,,,0.0,31363.0,http://replay181.valve.net/570/7503991624_412227581.dem.bz2,9248424.0,,2023,90.0,1.0,,,2.3053429622376627e+18,0.0,1133928821.0,1470046809.0,
4371,7586062352,'00111111','00000011',153,51,2246,1,107,2,10,16207,1,6387110334,,,21,False,2024-02-14 09:06:58,'0000011111000110','0000000000000100',21.0,2011420466.0,,,54,5.0,,,157.0,21015.0,http://replay153.valve.net/570/7586062352_2011420466.dem.bz2,9264152.0,9254408.0,2024,90.0,0.0,2.363896044787383e+18,1.0,2.3334965786987904e+18,0.0,372688147.0,292829433.0,
1504,7542021364,'00110011','00110000',274,48,3562,1,0,2,10,15901,1,6349932575,,,51,True,2024-01-17 17:01:36,'0000011110000110','0000011000000000',21.0,1097967918.0,,,54,3.0,18597.0,5217.0,,,http://replay274.valve.net/570/7542021364_1097967918.dem.bz2,8831040.0,9225431.0,2024,90.0,4.0,2.1308244444982592e+18,0.0,1.81215997201601e+18,0.0,131774502.0,917067055.0,
741,5207033540,'00111111','00111111',137,30,1562,1,43,2,10,11592,1,4369415165,0.0,0.0,5,False,22/1/20 13:52,'0000011110111100','0000011100100100',21.0,1501985941.0,401843.0,1.0,42,3.0,,,,,http://replay137.valve.net/570/5207033540_1501985941.dem.bz2,,,2020,,,,,,,,,
15913,6712748996,'00111111','00111111',152,20,1445,1,156,2,10,14471,1,5615801841,0.0,0.0,21,True,2022-08-18 11:13:23,'0000011110110110','0000011100110111',21.0,239448894.0,696132.0,1.0,50,5.0,4551.0,904.0,,,http://replay152.valve.net/570/6712748996_239448894.dem.bz2,,,2022,,,,,,,,,
3844,5915209811,'00110100','00110011',156,29,2737,1,0,2,10,12906,1,4962563524,0.0,0.0,41,False,2021-03-29 04:23:16,'0000011100000000','0000010100000110',21.0,932354831.0,545264.0,1.0,47,5.0,,,12482.0,2913.0,http://replay156.valve.net/570/5915209811_932354831.dem.bz2,,,2021,,,,,,,,,
10794,6620791808,'00111111','00111111',236,29,1260,1,157,2,10,14284,1,5533575977,0.0,0.0,8,False,2022-06-16 13:04:55,'0000011111111111','0000011110100100',21.0,545355401.0,0.0,0.0,50,13.0,,,190.0,16689.0,http://replay236.wmsj.cn/570/6620791808_545355401.dem.bz2,,,2022,,,,,,,,,
1168,7537269766,'00110000','00111111',271,27,2555,1,203,2,10,16099,1,6345666397,,,37,True,2024-01-14 12:59:10,'0000000100000000','0000011110110111',21.0,1805508331.0,841245.0,1.0,54,3.0,1009.0,16115.0,,,http://replay271.valve.net/570/7537269766_1805508331.dem.bz2,1838315.0,8291895.0,2024,90.0,0.0,2.031716132171968e+18,1.0,,1.0,34505203.0,87278757.0,
9298,6599199189,'00110011','00000011',274,39,2254,1,3,2,10,14105,1,5515555372,0.0,0.0,32,False,2022-06-03 05:30:30,'0000011111000100','0000011000000110',21.0,900147890.0,673357.0,1.0,50,3.0,,,3572.0,8428.0,http://replay274.valve.net/570/6599199189_900147890.dem.bz2,,,2022,,,,,,,,,
14289,7200330160,'00111111','00111111',184,48,1946,1,0,2,10,15382,1,6052926637,0.0,0.0,45,False,2023-06-14 18:35:23,'0000011110110110','0000011100110110',21.0,1155504076.0,0.0,0.0,52,8.0,,,5440.0,13132.0,http://replay184.valve.net/570/7200330160_1155504076.dem.bz2,,,2023,,,,,,,,,
7267,6056582479,'00110000','00111111',181,9,2013,1,16,2,10,13256,1,5070883766,0.0,0.0,20,True,2021-06-24 13:33:25,'0000011100000000','0000011110110111',21.0,254524801.0,572576.0,1.0,48,8.0,1537.0,19492.0,,,http://replay181.valve.net/570/6056582479_254524801.dem.bz2,,,2021,,,,,,,,,
888,7532893872,'00110011','00000011',272,27,2638,1,239,2,10,15660,1,6341731685,,,36,True,2024-01-11 20:01:38,'0000010110000100','0000011000000110',21.0,1878772109.0,840581.0,1.0,54,3.0,3179.0,4931.0,,,http://replay272.valve.net/570/7532893872_1878772109.dem.bz2,8849990.0,8849833.0,2024,90.0,5.0,2.047503411652997e+18,1.0,,1.0,402870848.0,120488420.0,
3948,6467642728,'00111111','00111101',156,35,1714,1,0,2,10,14066,1,5404777122,0.0,0.0,22,False,2022-03-09 07:44:42,'0000011111110110','0000000100100000',21.0,215299609.0,649212.0,0.0,50,5.0,,,3651.0,11434.0,http://replay156.valve.net/570/6467642728_215299609.dem.bz2,,,2022,,,,,,,,,
2649,6997176436,'00111111','00111011',272,33,992,1,0,2,10,14565,1,5872436235,0.0,0.0,7,False,2023-02-01 15:19:20,'0000011111111111','0000011110000110',21.0,2107125668.0,746126.0,1.0,51,,,,-423.0,11214.0,http://replay272.valve.net/570/6997176436_2107125668.dem.bz2,,,2023,,,,,,,,,
24583,6938926309,'00111111','00111111',225,34,1627,1,0,2,10,14826,1,5819780182,0.0,0.0,64,True,2022-12-27 08:07:57,'0000011000000110','0000011110110110',21.0,2095213946.0,736676.0,1.0,51,17.0,1203.0,21746.0,,,http://replay225.valve.net/570/6938926309_2095213946.dem.bz2,,,2022,,,,,,,,,
18423,6779580140,'00111111','00000000',122,12,1654,1,80,2,10,14552,1,5675266104,0.0,0.0,7,False,2022-09-27 20:01:16,'0000011111111110','0000010000000000',21.0,499897144.0,708503.0,1.0,51,2.0,,,1030.0,17480.0,http://replay122.valve.net/570/6779580140_499897144.dem.bz2,,,2022,,,,,,,,,
7622,6560180134,'00110000','00110011',153,18,2257,1,0,2,10,14148,1,5480665718,0.0,0.0,35,True,2022-05-08 03:52:26,'0000011100000000','0000011000000111',21.0,550318461.0,665664.0,1.0,50,5.0,1228.0,21602.0,,,http://replay153.valve.net/570/6560180134_550318461.dem.bz2,,,2022,,,,,,,,,
14636,5557269948,'00111111','00000011',251,51,2162,1,15,2,10,12169,1,4663532029,0.0,0.0,19,False,7/8/20 21:11,'0000011110110110','0000011000000100',21.0,749428159.0,469969.0,1.0,46,15.0,,,,,http://replay251.valve.net/570/5557269948_749428159.dem.bz2,,,2020,,,,,,,,,
20569,5713211230,'00111111','00100011',225,28,1988,1,189,2,10,12528,1,4806018411,0.0,0.0,13,False,23/11/20 12:20,'0000011111111110','0000011000000110',21.0,91256480.0,503769.0,1.0,46,17.0,,,,,http://replay225.valve.net/570/5713211230_91256480.dem.bz2,,,2020,,,,,,,,,
3418,6459318678,'00000000','00111111',251,20,2111,1,0,2,10,14015,1,5398180482,0.0,0.0,42,True,2022-03-04 01:25:05,'0000000000000000','0000011100000100',21.0,1338071224.0,647612.0,1.0,50,15.0,187.0,22093.0,,,http://replay251.valve.net/570/6459318678_1338071224.dem.bz2,,,2022,,,,,,,,,
2848,7000564204,'00110011','00111111',271,30,1920,1,114,2,10,14933,1,5875497783,0.0,0.0,39,True,2023-02-03 21:05:59,'0000000110000000','0000011110110111',21.0,1312893160.0,746837.0,1.0,51,3.0,4914.0,11617.0,,,http://replay271.valve.net/570/7000564204_1312893160.dem.bz2,,,2023,,,,,,,,,
