no,minute,gold,match_id,leagueid,data_year
14636,24,6070.0,5194368797,11155,2020
20569,27,107.0,5199632836,11592,2020
42366,28,4984.0,5224282722,11155,2020
66718,7,1605.0,5237240085,11661,2020
699,39,-6582.0,5178892262,11155,2020
98190,13,2049.0,5265047844,11263,2020
60008,2,-320.0,5234713499,11661,2020
33591,19,8950.0,5215225277,11602,2020
54319,29,-6394.0,5231716783,11629,2020
86374,11,-1425.0,5254125391,10946,2020
54026,23,-18968.0,5231689181,11629,2020
9289,1,322.0,5188861669,10857,2020
77439,19,709.0,5246607900,10884,2020
41663,13,-4069.0,5223830494,10884,2020
15619,1,0.0,5195208201,11155,2020
78011,39,-1566.0,5247000755,11661,2020
59908,41,-2945.0,5234639003,11661,2020
24686,23,-9104.0,5203551718,11517,2020
61369,17,7448.0,5235066027,11661,2020
80601,6,-299.0,5250152313,11668,2020
74573,14,3421.0,5242946882,11661,2020
96036,44,-1297.0,5263348060,11533,2020
39048,7,-11.0,5222409677,11591,2020
5015,39,-410.0,5184787789,11155,2020
14619,7,2138.0,5194368797,11155,2020
89141,10,-715.0,5256932204,11620,2020
90757,13,2440.0,5258451932,11249,2020
17892,15,-136.0,5197631719,11382,2020
47231,34,698.0,5228914672,11249,2020
89526,12,3180.0,5257251212,11478,2020
1810,27,445.0,5181273692,11249,2020
23020,22,3583.0,5202504673,11382,2020
64301,24,-7341.0,5236132487,11661,2020
82590,30,11047.0,5251385078,11620,2020
220,14,4182.0,5178351470,11099,2020
24390,39,6164.0,5203452736,11620,2020
29983,17,-3109.0,5211664442,11263,2020
24378,27,655.0,5203452736,11620,2020
42310,22,500.0,5224274966,11591,2020
65257,38,-6152.0,5236598112,11661,2020
16812,30,-3241.0,5196464013,11155,2020
35664,4,-543.0,5218997369,11263,2020
62869,21,2086.0,5235375935,11661,2020
55990,27,-18222.0,5232269193,11629,2020
20306,11,2431.0,5199469204,11592,2020
18738,28,-12905.0,5198289899,11592,2020
18620,4,-606.0,5198215403,11592,2020
68907,24,6995.0,5239294059,11629,2020
518,32,-5473.0,5178625303,11155,2020
69471,30,7719.0,5239810076,11661,2020
70743,4,-141.0,5240644388,11629,2020
31683,35,6911.0,5213059197,11263,2020
27232,1,0.0,5207044079,11602,2020
93008,4,-125.0,5260402633,11533,2020
57050,4,-3.0,5232782234,11629,2020
90913,19,-1264.0,5258527975,11688,2020
82968,5,532.0,5251595690,11688,2020
49885,30,-11099.0,5230827295,11629,2020
85312,29,7814.0,5253172885,11688,2020
39623,18,-487.0,5222800029,11591,2020
7774,26,-7157.0,5187265294,11370,2020
43089,10,341.0,5224985322,11636,2020
5569,23,-700.0,5185591665,11249,2020
88386,5,61.0,5256223039,11604,2020
41895,9,-1374.0,5224095008,11155,2020
61988,11,-4917.0,5235153803,11661,2020
13076,1,0.0,5193195132,11490,2020
