no,time,type,key,slot,player_slot,match_id,leagueid,unit,data_year
23371,1391.0,chat,на всю семью,3.0,3.0,5212187593,11478,FF.AllOne,2020
50302,1377.0,chatwheel,136,0.0,0.0,5231229874,11629,,2020
884,2070.0,chatwheel,19002,6.0,129.0,5181681711,10857,,2020
22049,2337.0,chatwheel,69004,5.0,128.0,5208208953,11517,,2020
18312,-68.0,chatwheel,58002,0.0,0.0,5203552122,11517,,2020
99448,-39.0,chatwheel,12004,7.0,130.0,5259456091,11719,,2020
52692,851.0,chat,g,5.0,128.0,5231407643,11629,Mad Scientist,2020
95115,1608.0,chat,gg,8.0,131.0,5253596100,10946,Gh,2020
77210,997.0,chat,gg,4.0,4.0,5239285995,11629,yk,2020
82086,1047.0,chatwheel,7,1.0,1.0,5241657151,11661,,2020
2562,654.0,chatwheel,53004,9.0,132.0,5184768747,10857,,2020
92786,723.0,chatwheel,23,5.0,128.0,5251760986,11468,,2020
47720,896.0,chatwheel,71,4.0,4.0,5230737950,11629,,2020
90575,-90.0,chatwheel,166,9.0,132.0,5250333620,10946,,2020
63803,-88.0,chatwheel,46004,7.0,130.0,5234787105,11661,,2020
51926,1241.0,chatwheel,71,8.0,131.0,5231332369,11629,,2020
12809,1866.0,chat,gg,5.0,128.0,5198366854,11600,Seleri,2020
9970,-60.0,chatwheel,71,2.0,2.0,5195037405,11249,,2020
95947,2754.0,chatwheel,54004,1.0,1.0,5254473363,11419,,2020
55260,-74.0,chatwheel,6,9.0,132.0,5231686143,11629,,2020
34733,1909.0,chatwheel,57002,7.0,130.0,5221800529,11620,,2020
24079,-79.0,chat,I SEE FRIEND REQUEST PENDING XD,1.0,1.0,5212357183,10884,MikSa` '`;'`';;',2020
36164,110.0,chatwheel,7,7.0,130.0,5223157413,11478,,2020
40483,326.0,chat,perezagruzites tam,6.0,129.0,5224941109,11636,One_,2020
43515,1635.0,chatwheel,9,4.0,4.0,5228020010,11636,,2020
69265,2276.0,chat,gg,8.0,131.0,5235557938,11661,reiy,2020
70103,1401.0,chat,GG,4.0,4.0,5235974206,11661,o_O,2020
49650,-701.0,chat,    ,1.0,1.0,5231223390,11629,газуй отсюда,2020
45579,748.0,chat,,9.0,132.0,5230050208,11419,luilton,2020
69293,247.0,chatwheel,50,3.0,3.0,5235562907,10884,,2020
15020,622.0,chatwheel,102001,4.0,4.0,5201168215,10884,,2020
77510,2014.0,chatwheel,40003,4.0,4.0,5239387477,11661,,2020
31024,1808.0,chat,(,5.0,128.0,5220367363,10884,I look like a villain,2020
96099,-43.0,chat,ggg,2.0,2.0,5254531750,11419,svitjod,2020
77868,927.0,chat,admin,0.0,0.0,5239514696,11661,nii san,2020
49872,-53.0,chat,gl hf,7.0,130.0,5231227569,11629,Firestorm,2020
46993,925.0,chatwheel,93003,6.0,129.0,5230734572,11629,,2020
62571,63.0,chatwheel,166,3.0,3.0,5234529804,11661,,2020
19752,2680.0,chatwheel,76004,6.0,129.0,5205666441,11517,,2020
97117,543.0,chatwheel,13005,7.0,130.0,5256223039,11604,,2020
99776,261.0,chatwheel,7,1.0,1.0,5260171999,11688,,2020
89423,1165.0,chatwheel,2,1.0,1.0,5248215594,11419,,2020
54677,-880.0,chatwheel,7,1.0,1.0,5231592002,10884,,2020
55986,-80.0,chat,GL !,4.0,4.0,5231719503,11629,baza parar chibolo,2020
30814,1021.0,chatwheel,112002,5.0,128.0,5220358528,10884,,2020
41744,-88.0,chat,sge lang wag ka lang mag iwan ng buhok,6.0,129.0,5226145186,11591,your pos 4,2020
73293,-80.0,chat,gl,5.0,128.0,5236880310,11661,jjk?,2020
79096,-74.0,chatwheel,54001,2.0,2.0,5240439370,11661,,2020
60959,324.0,chatwheel,80,1.0,1.0,5233594973,11629,,2020
93214,318.0,chatwheel,33003,4.0,4.0,5252061750,10946,,2020
98051,698.0,chatwheel,52003,2.0,2.0,5257535983,10946,,2020
95184,302.0,chatwheel,0,1.0,1.0,5253656365,11668,,2020
741,-62.0,chatwheel,62,5.0,128.0,5181607917,11468,,2020
54861,-86.0,chat,we're not playing this game if he's not here lmao,5.0,128.0,5231642361,10884,1/2 ungestümer spieler,2020
26162,2104.0,chatwheel,75,4.0,4.0,5212816885,11517,,2020
49742,813.0,chatwheel,96004,6.0,129.0,5231223390,11629,,2020
94848,625.0,chat,G,2.0,2.0,5253360372,11620,.,2020
48246,-73.0,chatwheel,54002,6.0,129.0,5230807461,11629,,2020
78159,-58.0,chatwheel,164,3.0,3.0,5239810076,11661,,2020
29585,-87.0,chatwheel,5,4.0,4.0,5219545476,10857,,2020
94568,1054.0,chatwheel,71,4.0,4.0,5253018919,11620,,2020
42896,790.0,chatwheel,43004,4.0,4.0,5227052923,11604,,2020
66519,1053.0,chatwheel,88001,3.0,3.0,5235122062,10884,,2020
63531,2063.0,chatwheel,48,7.0,130.0,5234735893,11661,,2020
57371,-86.0,chat,g,8.0,131.0,5231784508,11629,Hope,2020
46570,1892.0,chatwheel,19003,2.0,2.0,5230729531,11629,,2020
14636,-455.0,chat,screen tearing?,6.0,129.0,5200697888,11620,Pos anything plz,2020
20569,1455.0,chatwheel,7,4.0,4.0,5206921485,11602,,2020
42366,760.0,chatwheel,3,5.0,128.0,5226777568,11419,,2020
66718,85.0,chatwheel,19001,3.0,3.0,5235147820,11661,,2020
699,329.0,chatwheel,7,6.0,129.0,5181520568,11468,,2020
98190,-52.0,chat,лайк если умирал от морфа темпларой √,5.0,128.0,5257765381,11478,gnash,2020
60008,359.0,chatwheel,65004,3.0,3.0,5233117380,11629,,2020
33591,1535.0,chatwheel,62,0.0,0.0,5221038451,11427,,2020
54319,161.0,chatwheel,9,3.0,3.0,5231527324,10477,,2020
86374,1309.0,chatwheel,90,7.0,130.0,5244527639,11623,,2020
54026,-65.0,chatwheel,164,5.0,128.0,5231475225,11629,,2020
9289,429.0,chatwheel,158,4.0,4.0,5194676025,11490,,2020
77439,-89.0,chatwheel,162,0.0,0.0,5239387477,11661,,2020
41663,413.0,chatwheel,164,1.0,1.0,5226069805,11591,,2020
15619,516.0,chatwheel,2,0.0,0.0,5201963828,11592,,2020
78011,-16.0,chatwheel,61,9.0,132.0,5239719291,11661,,2020
59908,-79.0,chatwheel,7,0.0,0.0,5233099105,11629,,2020
24686,-81.0,chat,go?,0.0,0.0,5212496949,10884,21century jedi,2020
61369,1235.0,chatwheel,7,8.0,131.0,5234044653,11661,,2020
80601,303.0,chatwheel,71,2.0,2.0,5241168955,11439,,2020
74573,1976.0,chat,gg wp,5.0,128.0,5237726474,11661,Жду инактива Ант�,2020
96036,1093.0,chat,can g?,3.0,3.0,5254523776,10884,NOBLEWINGZ_FAN,2020
39048,125.0,chatwheel,98003,2.0,2.0,5223796930,10884,,2020
5015,-78.0,chatwheel,103004,3.0,3.0,5190422194,11490,,2020
14619,1855.0,chatwheel,71,5.0,128.0,5200625069,11620,,2020
89141,2485.0,chatwheel,0,4.0,4.0,5247453726,11668,,2020
90757,-76.0,chatwheel,87,6.0,129.0,5250423684,10946,,2020
17892,2024.0,chatwheel,32002,3.0,3.0,5203419396,11478,,2020
47231,114.0,chatwheel,54,5.0,128.0,5230735420,11629,,2020
89526,1266.0,chatwheel,43004,6.0,129.0,5248300721,11419,,2020
1810,1802.0,chat,dc,2.0,2.0,5183561662,11583,TheChosenOne,2020
23020,1293.0,chatwheel,7,7.0,130.0,5210677805,11517,,2020
64301,-78.0,chatwheel,162,8.0,131.0,5234851784,11661,,2020
82590,-58.0,chatwheel,7,2.0,2.0,5242195793,11661,,2020
220,371.0,chat,nadarim,0.0,0.0,5179036746,11468,Z3rAnG,2020
24390,287.0,chat,мы устали ждать,9.0,132.0,5212412919,11478,CCCP kak mid?,2020
29983,692.0,chatwheel,7,4.0,4.0,5220011575,11620,,2020
24378,287.0,chat,если типанете,2.0,2.0,5212412919,11478,dixie normous,2020
42310,1921.0,chatwheel,1,2.0,2.0,5226612541,11170,,2020
65257,441.0,chatwheel,234,7.0,130.0,5234981240,11636,,2020
16812,108.0,chatwheel,52,2.0,2.0,5203147669,11478,,2020
35664,1840.0,chat,gg,9.0,132.0,5222800029,11591,.,2020
62869,218.0,chatwheel,63,2.0,2.0,5234593235,10884,,2020
55990,-65.0,chatwheel,70,7.0,130.0,5231719503,11629,,2020
20306,1635.0,chatwheel,58002,5.0,128.0,5206828942,11517,,2020
18738,-108.0,chat,dont listen to pink,8.0,131.0,5203893788,10884,c.,2020
18620,133.0,chatwheel,64,5.0,128.0,5203653366,11517,,2020
68907,1027.0,chatwheel,71,0.0,0.0,5235434750,11661,,2020
518,507.0,chatwheel,7,2.0,2.0,5181184120,11249,,2020
69471,-142.0,chatwheel,164,8.0,131.0,5235682504,11661,,2020
70743,-84.0,chatwheel,95,3.0,3.0,5236222378,11661,,2020
31683,-92.0,chatwheel,62,3.0,3.0,5220626174,11427,,2020
27232,722.0,chat,iya kakak,4.0,4.0,5213773406,11602,No matter what (pos1),2020
93008,570.0,chatwheel,23003,1.0,1.0,5251866530,10946,,2020
57050,-62.0,chat,whos mid wind?,2.0,2.0,5231780282,11629,Toxic,2020
90913,-58.0,chatwheel,5,3.0,3.0,5250447690,11716,,2020
82968,-12.0,chatwheel,71,6.0,129.0,5242388849,11661,,2020
49885,369.0,chat,g,8.0,131.0,5231227569,11629,Lodine,2020
85312,-87.0,chatwheel,12,9.0,132.0,5243262414,10884,,2020
39623,636.0,chat,gg,6.0,129.0,5223946603,10884,AlienManaBanana,2020
7774,-65.0,chat,gl hf,6.0,129.0,5193447132,11490,asd,2020
43089,1324.0,chatwheel,52001,8.0,131.0,5227169931,11419,,2020
5569,825.0,chatwheel,13004,9.0,132.0,5191099915,11490,,2020
88386,651.0,chatwheel,63,5.0,128.0,5246607900,10884,,2020
41895,484.0,chat,у одного лагает,9.0,132.0,5226468205,11636,well well,2020
61988,-60.0,chatwheel,51004,3.0,3.0,5234394032,11661,,2020
13076,3023.0,chat,gg,1.0,1.0,5199028257,11600,B,2020
67219,1891.0,chatwheel,7,8.0,131.0,5235185658,10884,,2020
98672,-88.0,chatwheel,65,3.0,3.0,5258248170,10884,,2020
17938,2622.0,chatwheel,2,3.0,3.0,5203419396,11478,,2020
9696,482.0,chatwheel,87004,1.0,1.0,5194932345,10884,,2020
68197,-75.0,chatwheel,131,0.0,0.0,5235342485,11661,,2020
12880,-68.0,chatwheel,69001,9.0,132.0,5198407681,11600,,2020
44202,253.0,chatwheel,162,3.0,3.0,5228564144,11419,,2020
89913,589.0,chatwheel,2,8.0,131.0,5249014457,11468,,2020
76480,1712.0,chatwheel,28002,2.0,2.0,5238505693,11661,,2020
83703,564.0,chatwheel,71,5.0,128.0,5242699005,11468,,2020
33035,-187.0,chatwheel,63,0.0,0.0,5220942183,11427,,2020
56194,-56.0,chatwheel,11005,7.0,130.0,5231731345,11629,,2020
16224,2013.0,chat,gg,6.0,129.0,5202302510,11620,50centaur,2020
74648,-61.0,chat,gfl,9.0,132.0,5237798213,11661,Xibbe,2020
17781,390.0,chat,прячься бренди бой,2.0,2.0,5203419396,11478,QUACK,2020
61621,-70.0,chatwheel,26003,5.0,128.0,5234283911,11661,,2020
74798,2202.0,chatwheel,54,0.0,0.0,5237860500,11661,,2020
71717,428.0,chatwheel,106004,9.0,132.0,5236582480,11661,,2020
92361,-85.0,chat,net do maluco caiu,0.0,0.0,5251382717,11419,@iSonic,2020
85620,1424.0,chat,GG,6.0,129.0,5243516139,11661,烈烈风中丶,2020
70742,-85.0,chatwheel,86,4.0,4.0,5236222378,11661,,2020
4094,1479.0,chatwheel,71,1.0,1.0,5188362862,11533,,2020
93612,1501.0,chatwheel,68002,5.0,128.0,5252287668,10946,,2020
24511,1474.0,chatwheel,71,7.0,130.0,5212425010,11517,,2020
76286,-41.0,chatwheel,55001,9.0,132.0,5238473581,11661,,2020
25012,2477.0,chatwheel,61,5.0,128.0,5212557009,10884,,2020
73099,1277.0,chatwheel,32003,2.0,2.0,5236811636,11661,,2020
92690,881.0,chatwheel,63,3.0,3.0,5251712479,11668,,2020
74462,35.0,chatwheel,0,1.0,1.0,5237641670,11661,,2020
6580,231.0,chatwheel,7,9.0,132.0,5191935627,11490,,2020
11164,2647.0,chatwheel,31001,0.0,0.0,5196722814,10857,,2020
27491,-31.0,chat,wkakwak,6.0,129.0,5214004153,10937,김소정,2020
96033,1093.0,chat,brown said ez mid,6.0,129.0,5254523776,10884,smurf,2020
63870,378.0,chatwheel,71,1.0,1.0,5234788618,10884,,2020
22372,-42.0,chatwheel,95,4.0,4.0,5208699068,11517,,2020
89512,-99.0,chatwheel,68,2.0,2.0,5248300721,11419,,2020
13613,-76.0,chatwheel,1,8.0,131.0,5199223064,11592,,2020
68266,584.0,chat,hello,7.0,130.0,5235342895,11661,ฅ^•ﻌ•^ฅ♡ 牛就是�,2020
48418,213.0,chatwheel,164,8.0,131.0,5230826589,11629,,2020
54494,-78.0,chatwheel,13004,6.0,129.0,5231541344,11629,,2020
24480,-68.0,chatwheel,46002,1.0,1.0,5212425010,11517,,2020
68827,-66.0,chat,who called me out ,1.0,1.0,5235423393,10884,RRL,2020
14070,2922.0,chat,gg wp,8.0,131.0,5199517989,11620,SabeRLighT-,2020
96881,1073.0,chatwheel,134,0.0,0.0,5255670534,10946,,2020
25236,2208.0,chatwheel,7,0.0,0.0,5212575618,10884,,2020
64063,2700.0,chatwheel,76,0.0,0.0,5234819200,11661,,2020
53255,956.0,chatwheel,134,2.0,2.0,5231419498,11629,,2020
21041,1499.0,chatwheel,61,7.0,130.0,5207001284,11602,,2020
19867,-73.0,chat,60 dui bao,9.0,132.0,5205880797,11517,Oli~,2020
32824,438.0,chatwheel,54,0.0,0.0,5220850157,11427,,2020
78373,789.0,chatwheel,63,7.0,130.0,5239885410,11661,,2020
65842,-34.0,chatwheel,86007,8.0,131.0,5235071155,10884,,2020
78162,-27.0,chatwheel,17006,6.0,129.0,5239810076,11661,,2020
15213,829.0,chatwheel,7,4.0,4.0,5201645640,11517,,2020
24272,-21.0,chatwheel,71,8.0,131.0,5212394371,10884,,2020
99251,-88.0,chat,G,9.0,132.0,5259223056,11700,9k pos5 LFT.,2020
18263,-62.0,chatwheel,10001,0.0,0.0,5203547625,11517,,2020
15965,-1.0,chatwheel,0,4.0,4.0,5202088155,11592,,2020
35413,1482.0,chatwheel,7,0.0,0.0,5222594985,10857,,2020
4510,1600.0,chatwheel,7,3.0,3.0,5189701525,11490,,2020
