no,time,type,slot,key,player_slot,value,killer,team,unit,match_id,leagueid,data_year
129866,924.0,building_kill,3.0,npc_dota_badguys_tower1_top,3.0,,,,npc_dota_hero_slardar,6002710552,12780,2021
83380,124.0,CHAT_MESSAGE_COURIER_LOST,,,,,,8.0,,5919448020,13043,2021
148455,2158.0,building_kill,1.0,npc_dota_badguys_tower3_mid,1.0,,,,npc_dota_hero_leshrac,6045945211,13228,2021
130224,526.0,building_kill,,npc_dota_goodguys_tower1_bot,,,,,npc_dota_creep_badguys_melee,6003543228,13119,2021
102228,2570.0,building_kill,2.0,npc_dota_badguys_melee_rax_bot,2.0,,,,npc_dota_hero_abyssal_underlord,5958119216,12938,2021
99349,1591.0,building_kill,1.0,npc_dota_badguys_tower1_bot,1.0,,,,npc_dota_hero_medusa,5953954122,12938,2021
114927,116.0,CHAT_MESSAGE_FIRSTBLOOD,8.0,4,131.0,,,,,5979818737,13150,2021
72108,1262.0,building_kill,5.0,npc_dota_badguys_tower2_mid,128.0,,,,npc_dota_hero_venomancer,5889542476,11912,2021
149473,1496.0,building_kill,4.0,npc_dota_badguys_tower3_mid,4.0,,,,npc_dota_hero_furion,6048529165,13131,2021
152132,451.0,building_kill,4.0,npc_dota_badguys_tower1_top,4.0,,,,npc_dota_hero_bristleback,6054991004,13268,2021
141779,1548.0,building_kill,5.0,npc_dota_goodguys_tower2_mid,128.0,,,,npc_dota_hero_morphling,6026361127,12964,2021
107033,1391.0,building_kill,6.0,npc_dota_goodguys_tower2_mid,129.0,,,,npc_dota_hero_medusa,5963772680,13102,2021
108342,2677.0,building_kill,0.0,npc_dota_badguys_tower4,0.0,,,,npc_dota_hero_medusa,5965532297,13113,2021
83170,2546.0,building_kill,5.0,npc_dota_goodguys_tower3_mid,128.0,,,,npc_dota_hero_jakiro,5919141610,12929,2021
94100,207.0,CHAT_MESSAGE_FIRSTBLOOD,3.0,5,3.0,,,,,5944973596,12692,2021
125649,1522.0,CHAT_MESSAGE_ROSHAN_KILL,,,,,,2.0,,5996644319,12780,2021
131452,1651.0,CHAT_MESSAGE_COURIER_LOST,,,,,,3.0,,6005521150,13043,2021
113315,2542.0,building_kill,1.0,npc_dota_badguys_tower3_bot,1.0,,,,npc_dota_hero_skeleton_king,5974943209,13102,2021
145570,-36.0,CHAT_MESSAGE_FIRSTBLOOD,0.0,7,0.0,,,,,6037534952,13213,2021
150407,2277.0,building_kill,3.0,npc_dota_badguys_tower2_top,3.0,,,,npc_dota_hero_puck,6051132720,13269,2021
147540,1163.0,building_kill,1.0,npc_dota_badguys_tower2_top,1.0,,,,npc_dota_hero_shadow_demon,6043589665,13268,2021
53097,638.0,building_kill,,npc_dota_goodguys_tower1_bot,,,,,npc_dota_creep_badguys_melee,5851445280,12817,2021
107217,254.0,CHAT_MESSAGE_COURIER_LOST,,,,,,0.0,,5963871920,13059,2021
78518,2917.0,building_kill,,npc_dota_goodguys_tower2_top,,,,,npc_dota_badguys_siege,5906808931,12780,2021
102098,1803.0,building_kill,2.0,npc_dota_badguys_melee_rax_mid,2.0,,,,npc_dota_hero_juggernaut,5957980234,13114,2021
147204,1235.0,building_kill,0.0,npc_dota_badguys_tower2_bot,0.0,,,,npc_dota_hero_gyrocopter,6042372346,13213,2021
100602,871.0,building_kill,1.0,npc_dota_badguys_tower1_bot,1.0,,,,npc_dota_hero_life_stealer,5955789955,13115,2021
130515,2241.0,building_kill,1.0,npc_dota_badguys_melee_rax_bot,1.0,,,,npc_dota_hero_skeleton_king,6003926458,13043,2021
81941,2134.0,CHAT_MESSAGE_AEGIS,7.0,,130.0,,,,,5915824015,12906,2021
146924,210.0,CHAT_MESSAGE_FIRSTBLOOD,5.0,3,128.0,,,,,6040431300,12964,2021
95252,1347.0,building_kill,6.0,npc_dota_goodguys_tower2_bot,129.0,,,,npc_dota_hero_pugna,5946476287,13117,2021
118875,2069.0,building_kill,7.0,npc_dota_goodguys_tower3_mid,130.0,,,,npc_dota_hero_bristleback,5985799123,12780,2021
115887,2135.0,CHAT_MESSAGE_AEGIS,1.0,,1.0,,,,,5981342190,12929,2021
109727,2429.0,building_kill,7.0,npc_dota_goodguys_tower3_bot,130.0,,,,npc_dota_hero_morphling,5969233851,13114,2021
98926,975.0,building_kill,7.0,npc_dota_goodguys_tower1_top,130.0,,,,npc_dota_hero_invoker,5953450056,13120,2021
66992,1218.0,building_kill,4.0,npc_dota_badguys_tower2_top,4.0,,,,npc_dota_hero_morphling,5877871506,12881,2021
72925,953.0,building_kill,9.0,npc_dota_goodguys_tower1_mid,132.0,,,,npc_dota_hero_morphling,5891373596,12949,2021
94722,1331.0,building_kill,9.0,npc_dota_goodguys_tower2_bot,132.0,,,,npc_dota_hero_legion_commander,5945802177,13115,2021
119074,1516.0,building_kill,,npc_dota_badguys_fort,,,,,dota_unknown,5986077325,12780,2021
53055,1603.0,CHAT_MESSAGE_AEGIS,5.0,,128.0,,,,,5851360433,12817,2021
150546,2139.0,building_kill,0.0,npc_dota_badguys_range_rax_bot,0.0,,,,npc_dota_hero_terrorblade,6051383616,13300,2021
112364,2159.0,building_kill,,npc_dota_badguys_tower3_top,,,,,npc_dota_goodguys_siege,5973322350,12873,2021
85947,1185.0,building_kill,6.0,npc_dota_badguys_tower3_mid,129.0,,,,npc_dota_hero_dark_willow,5927862879,13028,2021
106675,2524.0,CHAT_MESSAGE_AEGIS,9.0,,132.0,,,,,5963619538,13102,2021
138730,658.0,building_kill,2.0,npc_dota_badguys_tower1_top,2.0,,,,npc_dota_hero_skeleton_king,6018091064,13237,2021
106382,537.0,CHAT_MESSAGE_COURIER_LOST,,,,,,9.0,,5963294575,13120,2021
61645,2776.0,building_kill,,npc_dota_badguys_tower4,,,,,npc_dota_creep_goodguys_ranged_upgraded_mega,5865482252,12871,2021
129795,1248.0,building_kill,,npc_dota_badguys_fort,,,,,dota_unknown,6002623804,13117,2021
94019,880.0,CHAT_MESSAGE_AEGIS,8.0,,131.0,,,,,5944869923,13108,2021
67975,1181.0,building_kill,4.0,npc_dota_badguys_tower2_top,4.0,,,,npc_dota_hero_monkey_king,5879823480,12881,2021
130367,1824.0,building_kill,5.0,npc_dota_goodguys_tower3_bot,128.0,,,,npc_dota_hero_arc_warden,6003817025,12929,2021
112264,1242.0,building_kill,,npc_dota_goodguys_tower1_top,,,,,npc_dota_badguys_siege,5973208315,12929,2021
77042,1498.0,building_kill,6.0,npc_dota_goodguys_tower1_top,129.0,,,,npc_dota_hero_abaddon,5901067573,12972,2021
113725,1833.0,CHAT_MESSAGE_AEGIS,7.0,,130.0,,,,,5976005684,12986,2021
132957,1895.0,building_kill,8.0,npc_dota_goodguys_tower3_mid,131.0,,,,npc_dota_hero_dark_willow,6009446082,13150,2021
126929,2277.0,building_kill,4.0,npc_dota_badguys_tower2_top,4.0,,,,npc_dota_hero_skeleton_king,5998429611,12780,2021
