no,minute,exp,match_id,leagueid,data_year
14636,24,6576.0,5194368797,11155,2020
20569,27,-2943.0,5199632836,11592,2020
42366,28,13681.0,5224282722,11155,2020
66718,7,1428.0,5237240085,11661,2020
699,39,-14927.0,5178892262,11155,2020
98190,13,2819.0,5265047844,11263,2020
60008,2,69.0,5234713499,11661,2020
33591,19,9220.0,5215225277,11602,2020
54319,29,-14610.0,5231716783,11629,2020
86374,11,-1797.0,5254125391,10946,2020
54026,23,-17116.0,5231689181,11629,2020
9289,1,39.0,5188861669,10857,2020
77439,19,3962.0,5246607900,10884,2020
41663,13,-1579.0,5223830494,10884,2020
15619,1,0.0,5195208201,11155,2020
78011,39,1462.0,5247000755,11661,2020
59908,41,-8816.0,5234639003,11661,2020
24686,23,-11524.0,5203551718,11517,2020
61369,17,9582.0,5235066027,11661,2020
80601,6,-465.0,5250152313,11668,2020
74573,14,3629.0,5242946882,11661,2020
96036,44,-19604.0,5263348060,11533,2020
39048,7,-99.0,5222409677,11591,2020
5015,39,448.0,5184787789,11155,2020
14619,7,1120.0,5194368797,11155,2020
89141,10,-904.0,5256932204,11620,2020
90757,13,1491.0,5258451932,11249,2020
17892,15,1549.0,5197631719,11382,2020
47231,34,623.0,5228914672,11249,2020
89526,12,1604.0,5257251212,11478,2020
1810,27,-7546.0,5181273692,11249,2020
23020,22,10520.0,5202504673,11382,2020
64301,24,-8512.0,5236132487,11661,2020
82590,30,14977.0,5251385078,11620,2020
220,14,3413.0,5178351470,11099,2020
24390,39,15073.0,5203452736,11620,2020
29983,17,-4795.0,5211664442,11263,2020
24378,27,4087.0,5203452736,11620,2020
42310,22,0.0,5224274966,11591,2020
65257,38,1002.0,5236598112,11661,2020
16812,30,-7679.0,5196464013,11155,2020
35664,4,-407.0,5218997369,11263,2020
62869,21,1983.0,5235375935,11661,2020
55990,27,-18487.0,5232269193,11629,2020
20306,11,1801.0,5199469204,11592,2020
18738,28,-18871.0,5198289899,11592,2020
18620,4,-106.0,5198215403,11592,2020
68907,24,12433.0,5239294059,11629,2020
518,32,-15466.0,5178625303,11155,2020
69471,30,8944.0,5239810076,11661,2020
70743,4,314.0,5240644388,11629,2020
31683,35,25462.0,5213059197,11263,2020
27232,1,0.0,5207044079,11602,2020
93008,4,288.0,5260402633,11533,2020
57050,4,-292.0,5232782234,11629,2020
