no,match_id,leagueid,key,value,data_year
24686,5203951632,10884,5219,129,2020
61369,5234196449,11661,4449,128,2020
80601,5241168955,11439,12947,1,2020
74573,5238035914,11636,11998,3,2020
96036,5252894574,11419,11321,3,2020
39048,5223178757,10884,6481,4,2020
5015,5185681405,11533,7899,129,2020
14619,5194954513,10884,5344,1,2020
89141,5246829375,10884,9115,1,2020
90757,5249594048,11419,4852,1,2020
17892,5198440330,11620,13481,129,2020
47231,5230730408,11629,6503,130,2020
89526,5247911267,11478,9283,130,2020
1810,5181788192,10857,6295,129,2020
23020,5203290189,11517,12920,4,2020
64301,5234896799,11636,8190,130,2020
82590,5241953496,11661,10919,132,2020
220,5178333151,11249,17528,1,2020
24390,5203629279,11517,10298,131,2020
29983,5212113401,11517,8061,129,2020
24378,5203629279,11517,9573,3,2020
42310,5225405145,11419,4994,128,2020
65257,5235066027,11661,7559,3,2020
16812,5197910769,11592,10287,132,2020
35664,5220218065,10884,5379,1,2020
62869,5234603983,11661,13321,128,2020
55990,5231739729,11629,10992,0,2020
20306,5201645277,11517,8592,3,2020
18738,5199341171,11600,8523,128,2020
18620,5199233800,11600,11154,0,2020
68907,5235875199,11661,9987,129,2020
518,5178724867,11155,647,131,2020
69471,5236035502,11661,5345,132,2020
70743,5236437819,11661,13534,0,2020
31683,5212816885,11517,12905,0,2020
27232,5207189048,11517,12427,4,2020
93008,5251021682,11419,6501,0,2020
57050,5231805583,11629,8630,131,2020
90913,5249669266,11604,4183,129,2020
82968,5242110176,11661,12943,129,2020
49885,5231228243,11629,9090,129,2020
85312,5243262414,10884,9317,128,2020
39623,5223345526,10884,5349,4,2020
7774,5188446481,11370,11903,1,2020
43089,5226052579,11591,7042,2,2020
5569,5185871845,11533,5933,1,2020
88386,5245935399,11478,8313,128,2020
41895,5224559493,11591,9971,1,2020
61988,5234394032,11661,7603,132,2020
13076,5194123813,11533,8967,131,2020
67219,5235342485,11661,9164,131,2020
98672,5254736739,11620,12147,131,2020
17938,5198596816,11263,9174,4,2020
9696,5190863590,11533,5196,130,2020
68197,5235557133,11661,7818,3,2020
12880,5193899653,11533,9030,132,2020
44202,5227094589,11604,10899,0,2020
89913,5248349736,11657,8061,3,2020
76480,5239285995,11629,8258,1,2020
83703,5242388849,11661,12659,131,2020
33035,5214773684,11263,6947,129,2020
56194,5231761021,11629,10600,1,2020
16224,5196964400,11600,6300,4,2020
74648,5238101516,11636,6739,132,2020
17781,5198376510,11592,11461,132,2020
61621,5234283911,11661,7074,128,2020
74798,5238211385,11661,4419,3,2020
71717,5236686331,11661,6523,1,2020
92361,5250604020,10946,12324,3,2020
85620,5243355623,11661,647,131,2020
70742,5236437819,11661,13481,131,2020
4094,5184497128,11533,9164,129,2020
93612,5251382717,11419,9461,132,2020
24511,5203653366,11517,9196,0,2020
76286,5239279671,11629,11266,130,2020
25012,5204689360,11620,8980,4,2020
73099,5236986525,11661,11899,4,2020
92690,5250853449,10946,9746,3,2020
74462,5237983246,11661,10375,128,2020
6580,5187159391,11533,10919,0,2020
11164,5191935627,11490,4050,131,2020
27491,5207398720,11517,5868,3,2020
96033,5252894574,11419,10376,128,2020
63870,5234820074,11661,9220,129,2020
22372,5203090606,11517,10347,129,2020
89512,5247843584,11478,12962,132,2020
13613,5194325871,11592,11889,3,2020
68266,5235557938,11661,6788,3,2020
48418,5230815720,11629,12190,130,2020
54494,5231609372,10884,4787,1,2020
24480,5203648945,11620,12953,128,2020
68827,5235861792,11661,7885,128,2020
14070,5194602458,11592,4584,130,2020
96881,5253387122,11688,7581,131,2020
25236,5205500820,11517,9041,2,2020
64063,5234842089,11661,13565,3,2020
53255,5231429780,11629,9214,3,2020
21041,5201936178,11517,12947,131,2020
19867,5200625069,11620,13202,0,2020
32824,5214175265,11620,7093,4,2020
78373,5240371243,11629,6896,3,2020
65842,5235123343,11661,10003,3,2020
78162,5240193189,11661,5511,130,2020
15213,5195635710,11592,5810,130,2020
24272,5203599285,11517,12657,130,2020
99251,5255204269,11620,10479,128,2020
18263,5199116852,11592,6996,3,2020
15965,5196765725,11600,6520,2,2020
35413,5219739898,11382,6826,2,2020
4510,5184977962,11583,9411,132,2020
182,5178299225,11099,8712,132,2020
53113,5231419498,11629,13566,0,2020
37385,5221487623,11382,6434,128,2020
13740,5194358185,11478,13075,1,2020
75017,5238337649,11661,12947,4,2020
22957,5203276212,11517,12337,3,2020
45765,5229216826,11591,9521,128,2020
51056,5231305559,11629,10896,130,2020
40242,5223571586,10884,5813,2,2020
64265,5234887411,10884,8779,2,2020
2107,5182006054,11583,13446,4,2020
98742,5254757780,11688,11383,0,2020
95704,5252732908,11419,9079,4,2020
22625,5203170537,11517,6856,1,2020
9975,5191009388,11490,9953,128,2020
73117,5237006392,11661,6424,128,2020
68879,5235875199,11661,6273,129,2020
33740,5215754448,11620,13481,3,2020
81255,5241349712,11661,13440,129,2020
13876,5194434557,10857,9267,129,2020
61219,5234044653,11661,8121,1,2020
55202,5231690681,11629,8821,128,2020
45769,5229216826,11591,9957,4,2020
196275,5335659941,11823,7835,3,2020
122712,5275614315,11657,7867,1,2020
131942,5282626037,10884,4991,0,2020
187283,5329807147,11823,12690,0,2020
113342,5267817105,11623,10845,1,2020
191812,5333907714,11829,8363,129,2020
184358,5327942415,11800,12248,130,2020
193377,5334005206,11829,9262,3,2020
199636,5336737923,11829,6547,128,2020
181536,5325908471,11823,7710,0,2020
142728,5290338138,11741,7816,129,2020
171273,5316952112,11623,7990,128,2020
154304,5302642693,11370,11889,2,2020
191355,5333445855,11717,8845,3,2020
101249,5257505282,11478,7162,129,2020
158497,5307135487,11591,12268,0,2020
122096,5275069329,11694,12686,1,2020
132906,5283527992,11694,12933,1,2020
147040,5293742855,11731,9063,3,2020
191207,5333253700,11717,9050,3,2020
144077,5291323931,11448,12962,132,2020
131048,5281691890,11657,12451,4,2020
124191,5276538947,11683,7470,1,2020
111968,5266762053,11533,9922,3,2020
110443,5265158447,11533,10905,4,2020
141072,5289136956,11741,10368,3,2020
175565,5320982536,11823,630,128,2020
130537,5281470989,11478,13086,0,2020
185719,5328996176,11823,5242,128,2020
160710,5308645385,11806,12147,132,2020
122545,5275541372,11533,9260,1,2020
112829,5267411413,11623,9666,131,2020
132106,5282668565,10884,13202,131,2020
140830,5288964890,11736,9507,131,2020
167926,5313908546,11604,6636,130,2020
106602,5262013428,11533,10896,128,2020
100592,5257026839,11620,7468,129,2020
110415,5265158447,11533,8000,1,2020
166996,5313056469,11806,10314,2,2020
125913,5277302296,11657,9747,130,2020
185207,5328812011,11823,7814,2,2020
196808,5335933074,11478,4857,2,2020
141561,5289326163,11591,7491,131,2020
130532,5281470989,11478,12884,132,2020
174902,5320085586,11604,6680,130,2020
199060,5336486461,11823,7276,130,2020
167290,5313190965,11798,7101,130,2020
136354,5285878699,11604,10003,3,2020
132751,5283400436,11694,9616,2,2020
115927,5269495846,11719,12306,132,2020
140839,5288964890,11736,10195,1,2020
126413,5277678869,11694,7162,128,2020
128215,5279527321,11657,7814,131,2020
108354,5263666353,11533,12962,130,2020
156603,5305350450,11736,6743,3,2020
175686,5321039132,11370,17524,4,2020
154614,5302809924,11448,11085,130,2020
120321,5273336840,11694,12638,0,2020
178323,5323015787,11099,8316,128,2020
199860,5336875395,11823,6997,4,2020
115014,5268823249,11099,11084,4,2020
178404,5323051771,11823,10872,131,2020
103328,5259223056,11700,10898,0,2020
112606,5267267194,11719,10163,1,2020
199982,5336990725,11829,8224,4,2020
164874,5311154878,11773,9747,2,2020
164961,5311190378,11806,6763,131,2020
181419,5325668658,11823,647,1,2020
108146,5263544818,11533,8443,128,2020
191711,5333849681,11027,11266,1,2020
123986,5276395266,11683,7781,132,2020
155337,5303603955,11773,9822,131,2020
190328,5331972819,11823,9699,3,2020
189887,5331590865,11823,647,3,2020
107790,5263000711,11623,8158,1,2020
177869,5322232398,11604,10433,128,2020
139729,5288328250,11623,13496,130,2020
154795,5303059399,11736,7292,0,2020
169724,5315828909,11604,12261,1,2020
152403,5300038525,11683,8522,131,2020
161875,5309293918,11806,11865,131,2020
194012,5334115111,11829,13392,129,2020
109568,5264668389,11694,13501,4,2020
196370,5335701853,11823,6466,129,2020
123371,5275846130,11620,8683,132,2020
150302,5297260998,11613,5382,132,2020
100884,5257242530,11478,9753,129,2020
122049,5275020148,11719,13007,1,2020
118312,5271556315,11700,7063,131,2020
199448,5336615008,11829,12190,128,2020
152692,5300634088,11668,684,3,2020
195115,5335024274,11807,11341,132,2020
177210,5321848684,11478,9068,128,2020
182086,5326821601,11807,11347,128,2020
102562,5258528232,11533,7687,3,2020
192786,5333924523,11829,4539,0,2020
147720,5294142129,11478,7798,0,2020
190575,5332174606,11800,13543,131,2020
163803,5310603151,10884,12306,132,2020
151926,5299492884,11773,6833,4,2020
112809,5267411413,11623,7170,3,2020
109970,5264933097,11099,9198,3,2020
195947,5335436611,11823,12162,131,2020
155260,5303553158,11683,6031,3,2020
134733,5285040925,11620,13565,3,2020
124079,5276497398,11694,4851,128,2020
136164,5285802405,11741,6709,129,2020
140483,5288744380,11741,11426,4,2020
143515,5291051994,10884,4854,4,2020
169265,5315048259,11700,7211,128,2020
170103,5316210757,11370,9580,3,2020
149650,5296761270,10884,7080,128,2020
145579,5292591725,10884,7557,0,2020
169293,5315048259,11700,10007,3,2020
115020,5268823249,11099,12320,0,2020
177510,5321956630,11683,13197,1,2020
131024,5281691890,11657,8002,2,2020
196099,5335563278,11823,8029,1,2020
177868,5322232398,11604,10298,0,2020
149872,5296911710,10884,12694,129,2020
146993,5293705590,11448,9666,128,2020
