no,match_id,leagueid,radiant.team_id,radiant.name,radiant.tag,radiant.logo_url,dire.team_id,dire.name,dire.tag,dire.logo_url,data_year
725,6966231679,14948,8944582,Lilgun,lg,https://steamusercontent-a.akamaihd.net/ugc/2031719436235354148/316D93ECBF4805E1EF70E43D4F15B0DD08C9E0C8/,2640025,iG.Vitality,iG.V,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2640025.png,2023
227,5775158484,12726,7355202,0-900,Ceros&99,https://steamusercontent-a.akamaihd.net/ugc/1704034601417286784/36BCC7B8CD0F264624D0D51541B0A17EE75185C8/,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,2021
12829,5508582364,12214,8058271,WarFreakZ,WF,,8058252,Grave Keepers,GK,https://steamusercontent-a.akamaihd.net/ugc/1324571995459690333/F3BA03D358F51FC83338AB4560D58E5B77A9208E/,2020
9788,6148376197,13442,1689423,Nature is not for a weak,NINFAW,https://steamusercontent-a.akamaihd.net/ugc/1747953039428717660/DD1AD992EAD95D2DE66DD127656604ECF19F3056/,5184391,EYE gaming,EYE,https://steamusercontent-a.akamaihd.net/ugc/1786219031639964970/96656BBE81482732A0B7681BD413984FFDEE0129/,2021
2098,6428863755,13954,8375259,Infinity,Infinity,https://steamusercontent-a.akamaihd.net/ugc/2012577143832299242/0B29AFE6D9B224CB4EDB33A07AAC0D3FD19A00A6/,2672298,NoPing Esports,NOPING,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2672298.png,2022
7941,7087317390,14915,9005165,Star Foxes,SF,https://steamusercontent-a.akamaihd.net/ugc/2027220095511607538/A6FA8DDA68296D4ED65754301F2C0AEC812321F7/,8979725,ua rejects ,ua,https://steamusercontent-a.akamaihd.net/ugc/2051987993892076703/93F81E04DBDB997BD06D7297A49FEE9975348308/,2023
6602,5371668743,11898,7267298,EHOME.Immortal,EHOME.I,https://steamusercontent-a.akamaihd.net/ugc/1009310639734460169/790AB3B9CDDC1F7870F763E1C2667A3FDE46267A/,7099096,Typhoon,,https://steamusercontent-a.akamaihd.net/ugc/798738460202430961/DED31602C14252A0F6BA948B14EC98E125C3795B/,2020
592,5201645213,11517,36,Natus Vincere,NAVI,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/36.png,39,Shopify Rebellion,SR,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/39.png,2020
10415,5454427123,11964,7732977,BOOM Esports,BOOM,https://steamusercontent-a.akamaihd.net/ugc/768365068750604173/EF3216F4B02A0DA2327AC3190A369349C7BF3A24/,7977167,Dota Hero,DH,https://steamusercontent-a.akamaihd.net/ugc/1036338667653740554/5174FCE71F57B35D1E9D86880227A91045BBDE13/,2020
7011,7071308955,14933,8850015,DARKNESS GAMING,DG,https://steamusercontent-a.akamaihd.net/ugc/1877463356745066761/970A15CB7D3F860BA71E931D9D5C10692F27EA01/,8957156,Silent killer,sK,https://steamusercontent-a.akamaihd.net/ugc/5085158533690852941/5CFD49C25A35151C036A8B2A05CD44D06CB73853/,2023
